,zip1,zip2,#people_visit
1,10001,10001,4659
2,10001,10002,1393
3,10001,10003,2176
4,10001,10004,810
5,10001,10005,368
6,10001,10006,251
7,10001,10007,3664
8,10001,10009,644
9,10001,10010,1458
10,10001,10011,2296
11,10001,10012,1834
12,10001,10013,1574
13,10001,10014,1926
14,10001,10016,1039
15,10001,10017,1257
16,10001,10018,1952
17,10001,10019,2696
18,10001,10020,1796
19,10001,10021,362
20,10001,10022,1456
21,10001,10023,1319
22,10001,10024,709
23,10001,10025,397
24,10001,10026,266
25,10001,10027,400
26,10001,10028,403
27,10001,10029,201
28,10001,10030,104
29,10001,10031,156
30,10001,10032,153
31,10001,10033,145
32,10001,10034,136
33,10001,10035,154
34,10001,10036,3179
35,10001,10037,53
36,10001,10038,475
37,10001,10039,39
38,10001,10040,108
39,10001,10041,11
40,10001,10044,84
41,10001,10045,3
42,10001,10047,1
43,10001,10048,761
44,10001,10055,5
45,10001,10069,52
46,10001,10080,5
47,10001,10081,2
48,10001,10096,7
49,10001,10103,13
50,10001,10104,3
51,10001,10105,4
52,10001,10106,3
53,10001,10107,3
54,10001,10110,7
55,10001,10111,211
56,10001,10112,3
57,10001,10115,4
58,10001,10118,525
59,10001,10119,101
60,10001,10120,176
61,10001,10121,66
62,10001,10122,9
63,10001,10123,10
64,10001,10128,193
65,10001,10151,1
66,10001,10152,16
67,10001,10153,92
68,10001,10154,10
70,10001,10165,5
71,10001,10166,28
72,10001,10167,22
73,10001,10168,1
74,10001,10169,34
75,10001,10170,6
77,10001,10172,5
79,10001,10174,56
80,10001,10175,6
81,10001,10176,1
82,10001,10177,1
84,10001,10196,4
85,10001,10203,2
87,10001,10260,16
88,10001,10265,8
89,10001,10270,1
90,10001,10271,4
91,10001,10275,17
92,10001,10278,12
93,10001,10279,15
94,10001,10280,99
95,10001,10281,328
96,10001,10282,98
97,10001,10285,46
98,10001,10286,8
99,10001,10301,114
100,10001,10302,20
101,10001,10303,18
102,10001,10304,32
103,10001,10305,32
104,10001,10306,39
105,10001,10307,10
106,10001,10308,21
107,10001,10309,25
108,10001,10310,27
109,10001,10312,18
110,10001,10314,96
111,10001,10451,93
112,10001,10452,125
113,10001,10453,70
114,10001,10454,47
115,10001,10455,60
116,10001,10456,52
117,10001,10457,53
118,10001,10458,141
119,10001,10459,41
120,10001,10460,81
121,10001,10461,70
122,10001,10462,138
123,10001,10463,86
124,10001,10464,41
125,10001,10465,49
126,10001,10466,34
127,10001,10467,79
128,10001,10468,64
129,10001,10469,32
130,10001,10470,18
131,10001,10471,51
132,10001,10472,43
133,10001,10473,22
134,10001,10474,20
135,10001,10475,61
136,10001,11001,1
137,10001,11004,4
138,10001,11005,2
139,10001,11040,4
140,10001,11101,466
141,10001,11102,183
142,10001,11103,146
143,10001,11104,68
144,10001,11105,130
145,10001,11106,182
146,10001,11109,21
147,10001,11201,1041
148,10001,11203,49
149,10001,11204,34
150,10001,11205,163
151,10001,11206,344
152,10001,11207,91
153,10001,11208,41
154,10001,11209,82
155,10001,11210,72
156,10001,11211,1159
157,10001,11212,46
158,10001,11213,71
159,10001,11214,75
160,10001,11215,432
161,10001,11216,174
162,10001,11217,773
163,10001,11218,72
164,10001,11219,56
165,10001,11220,102
166,10001,11221,247
167,10001,11222,310
168,10001,11223,53
169,10001,11224,111
170,10001,11225,86
171,10001,11226,501
172,10001,11228,66
173,10001,11229,59
174,10001,11230,50
175,10001,11231,221
176,10001,11232,140
177,10001,11233,146
178,10001,11234,64
179,10001,11235,77
180,10001,11236,50
181,10001,11237,281
182,10001,11238,338
183,10001,11239,27
184,10001,11251,27
185,10001,11354,142
186,10001,11355,123
187,10001,11356,25
188,10001,11357,31
189,10001,11358,29
190,10001,11359,4
191,10001,11360,27
192,10001,11361,64
193,10001,11362,24
194,10001,11363,8
195,10001,11364,20
196,10001,11365,37
197,10001,11366,31
198,10001,11367,64
199,10001,11368,164
200,10001,11369,35
201,10001,11370,30
202,10001,11371,454
203,10001,11372,94
204,10001,11373,188
205,10001,11374,49
206,10001,11375,173
207,10001,11377,158
208,10001,11378,47
209,10001,11379,31
210,10001,11385,124
211,10001,11411,9
212,10001,11412,14
213,10001,11413,27
214,10001,11414,32
215,10001,11415,39
216,10001,11416,27
217,10001,11417,28
218,10001,11418,34
219,10001,11419,27
220,10001,11420,47
221,10001,11421,32
222,10001,11422,22
223,10001,11423,25
224,10001,11426,16
225,10001,11427,7
226,10001,11428,10
227,10001,11429,19
228,10001,11430,854
229,10001,11432,105
230,10001,11433,59
231,10001,11434,36
232,10001,11435,117
233,10001,11436,16
234,10001,11691,21
235,10001,11692,8
236,10001,11693,25
237,10001,11694,17
238,10001,11697,6
239,10002,10002,1832
240,10002,10003,1450
241,10002,10004,252
242,10002,10005,172
243,10002,10006,125
244,10002,10007,1613
245,10002,10009,638
246,10002,10010,798
247,10002,10011,1217
248,10002,10012,1326
249,10002,10013,1096
250,10002,10014,1139
251,10002,10016,477
252,10002,10017,471
253,10002,10018,708
254,10002,10019,1222
255,10002,10020,514
256,10002,10021,197
257,10002,10022,577
258,10002,10023,598
259,10002,10024,293
260,10002,10025,172
261,10002,10026,126
262,10002,10027,209
263,10002,10028,193
264,10002,10029,111
265,10002,10030,60
266,10002,10031,75
267,10002,10032,62
268,10002,10033,58
269,10002,10034,60
270,10002,10035,79
271,10002,10036,1078
272,10002,10037,27
273,10002,10038,233
274,10002,10039,16
275,10002,10040,54
276,10002,10041,6
277,10002,10044,36
278,10002,10045,5
280,10002,10048,251
