,zip1,zip2,#people_visit
1,10001,10001,588
2,10001,10002,76
3,10001,10003,164
4,10001,10004,55
5,10001,10005,16
6,10001,10006,15
7,10001,10007,268
8,10001,10009,42
9,10001,10010,93
10,10001,10011,159
11,10001,10012,116
12,10001,10013,95
13,10001,10014,135
14,10001,10016,81
15,10001,10017,104
16,10001,10018,149
17,10001,10019,186
18,10001,10020,106
19,10001,10021,30
20,10001,10022,94
21,10001,10023,51
22,10001,10024,49
23,10001,10025,33
24,10001,10026,15
25,10001,10027,31
26,10001,10028,26
27,10001,10029,16
28,10001,10030,6
29,10001,10031,16
30,10001,10032,12
31,10001,10033,13
32,10001,10034,16
33,10001,10035,11
34,10001,10036,228
35,10001,10037,7
36,10001,10038,31
37,10001,10039,5
38,10001,10040,12
40,10001,10044,13
42,10001,10048,31
46,10001,10103,1
49,10001,10106,1
50,10001,10110,1
51,10001,10111,17
52,10001,10118,74
53,10001,10119,11
54,10001,10120,19
55,10001,10121,9
56,10001,10123,2
57,10001,10128,14
59,10001,10152,1
60,10001,10153,5
61,10001,10154,1
62,10001,10165,1
63,10001,10166,2
64,10001,10167,7
65,10001,10169,7
66,10001,10170,1
68,10001,10174,5
69,10001,10175,1
74,10001,10265,1
75,10001,10270,1
76,10001,10275,1
77,10001,10278,1
78,10001,10279,1
79,10001,10280,4
80,10001,10281,18
81,10001,10282,7
82,10001,10285,1
84,10001,10301,11
85,10001,10302,3
86,10001,10303,3
87,10001,10304,5
88,10001,10305,5
89,10001,10306,8
90,10001,10307,1
91,10001,10308,1
92,10001,10309,4
93,10001,10310,4
94,10001,10312,3
95,10001,10314,24
96,10001,10451,10
97,10001,10452,14
98,10001,10453,6
99,10001,10454,5
100,10001,10455,4
101,10001,10456,6
102,10001,10457,7
103,10001,10458,8
104,10001,10459,7
105,10001,10460,6
106,10001,10461,11
107,10001,10462,26
108,10001,10463,14
110,10001,10465,6
111,10001,10466,7
112,10001,10467,11
113,10001,10468,7
114,10001,10469,2
115,10001,10470,3
116,10001,10471,3
117,10001,10472,6
118,10001,10473,3
119,10001,10474,2
120,10001,10475,8
125,10001,11101,45
126,10001,11102,24
127,10001,11103,29
128,10001,11104,5
129,10001,11105,12
130,10001,11106,16
132,10001,11201,75
133,10001,11203,5
134,10001,11204,6
135,10001,11205,8
136,10001,11206,27
137,10001,11207,5
138,10001,11208,4
139,10001,11209,11
140,10001,11210,6
141,10001,11211,77
142,10001,11212,7
143,10001,11213,5
144,10001,11214,9
145,10001,11215,38
146,10001,11216,11
147,10001,11217,47
148,10001,11218,8
149,10001,11219,5
150,10001,11220,7
151,10001,11221,10
152,10001,11222,24
153,10001,11223,5
154,10001,11224,11
155,10001,11225,7
156,10001,11226,46
157,10001,11228,3
158,10001,11229,7
159,10001,11230,6
160,10001,11231,19
161,10001,11232,12
162,10001,11233,15
163,10001,11234,4
164,10001,11235,8
165,10001,11236,9
166,10001,11237,15
167,10001,11238,20
168,10001,11239,5
170,10001,11354,16
171,10001,11355,7
172,10001,11356,4
173,10001,11357,1
174,10001,11358,2
176,10001,11360,2
177,10001,11361,9
178,10001,11362,3
179,10001,11363,1
180,10001,11364,4
181,10001,11365,6
182,10001,11366,13
183,10001,11367,7
184,10001,11368,12
185,10001,11369,3
186,10001,11370,7
187,10001,11371,15
188,10001,11372,10
189,10001,11373,16
190,10001,11374,8
191,10001,11375,24
192,10001,11377,13
193,10001,11378,6
194,10001,11379,1
195,10001,11385,11
198,10001,11413,1
199,10001,11414,5
200,10001,11415,4
201,10001,11416,3
202,10001,11417,1
203,10001,11418,2
204,10001,11419,2
205,10001,11420,3
207,10001,11422,1
208,10001,11423,1
210,10001,11427,2
211,10001,11428,2
212,10001,11429,5
213,10001,11430,45
214,10001,11432,15
215,10001,11433,6
216,10001,11434,2
217,10001,11435,8
218,10001,11436,2
219,10001,11691,1
221,10001,11693,2
224,10002,10002,273
225,10002,10003,143
226,10002,10004,19
227,10002,10005,7
228,10002,10006,7
229,10002,10007,107
