,zip1,zip2,#people_visit
1,10001,10001,626
2,10001,10002,111
3,10001,10003,177
4,10001,10004,53
5,10001,10005,21
6,10001,10006,13
7,10001,10007,298
8,10001,10009,56
9,10001,10010,82
10,10001,10011,159
11,10001,10012,122
12,10001,10013,92
13,10001,10014,145
14,10001,10016,95
15,10001,10017,81
16,10001,10018,155
17,10001,10019,195
18,10001,10020,122
19,10001,10021,32
20,10001,10022,95
21,10001,10023,75
22,10001,10024,36
23,10001,10025,29
24,10001,10026,17
25,10001,10027,36
26,10001,10028,43
27,10001,10029,18
28,10001,10030,8
29,10001,10031,15
30,10001,10032,10
31,10001,10033,14
32,10001,10034,15
33,10001,10035,12
34,10001,10036,275
35,10001,10037,5
36,10001,10038,31
37,10001,10039,4
38,10001,10040,10
39,10001,10041,1
40,10001,10044,7
41,10001,10048,41
42,10001,10069,5
43,10001,10080,1
45,10001,10103,2
46,10001,10104,1
49,10001,10107,1
51,10001,10111,16
53,10001,10115,1
54,10001,10118,101
55,10001,10119,9
56,10001,10120,26
57,10001,10121,7
58,10001,10122,3
59,10001,10123,4
60,10001,10128,17
62,10001,10152,1
63,10001,10153,7
64,10001,10154,2
65,10001,10165,3
67,10001,10167,6
68,10001,10169,1
72,10001,10174,3
78,10001,10265,1
79,10001,10270,1
80,10001,10275,1
82,10001,10279,2
83,10001,10280,4
84,10001,10281,22
85,10001,10282,10
86,10001,10285,1
87,10001,10301,6
88,10001,10302,1
89,10001,10303,5
90,10001,10304,2
91,10001,10305,10
92,10001,10306,6
93,10001,10307,2
94,10001,10308,1
95,10001,10309,4
96,10001,10310,5
97,10001,10312,3
98,10001,10314,26
99,10001,10451,11
100,10001,10452,11
101,10001,10453,6
102,10001,10454,6
103,10001,10455,4
104,10001,10456,3
105,10001,10457,7
106,10001,10458,13
107,10001,10459,5
108,10001,10460,7
109,10001,10461,10
110,10001,10462,28
111,10001,10463,10
112,10001,10464,7
113,10001,10465,8
114,10001,10466,7
115,10001,10467,10
116,10001,10468,6
118,10001,10470,4
119,10001,10471,8
120,10001,10472,7
121,10001,10473,4
122,10001,10474,3
123,10001,10475,9
128,10001,11101,60
129,10001,11102,24
130,10001,11103,23
131,10001,11104,5
132,10001,11105,14
133,10001,11106,20
135,10001,11201,62
136,10001,11203,4
137,10001,11204,5
138,10001,11205,12
139,10001,11206,24
140,10001,11207,9
141,10001,11208,4
142,10001,11209,15
143,10001,11210,9
144,10001,11211,96
145,10001,11212,5
146,10001,11213,8
147,10001,11214,17
148,10001,11215,38
149,10001,11216,17
150,10001,11217,51
151,10001,11218,13
152,10001,11219,7
153,10001,11220,17
154,10001,11221,15
155,10001,11222,29
156,10001,11223,5
157,10001,11224,11
158,10001,11225,9
159,10001,11226,49
