,zip1,zip2,#people_visit
1,10001,10001,3374
2,10001,10002,826
3,10001,10003,1365
4,10001,10004,487
5,10001,10005,237
6,10001,10006,164
7,10001,10007,2564
8,10001,10009,363
9,10001,10010,989
10,10001,10011,1489
11,10001,10012,1208
12,10001,10013,1023
13,10001,10014,1227
14,10001,10016,689
15,10001,10017,869
16,10001,10018,1297
17,10001,10019,1777
18,10001,10020,1140
19,10001,10021,225
20,10001,10022,995
21,10001,10023,897
22,10001,10024,444
23,10001,10025,255
24,10001,10026,171
25,10001,10027,248
26,10001,10028,250
27,10001,10029,137
28,10001,10030,63
29,10001,10031,96
30,10001,10032,94
31,10001,10033,89
32,10001,10034,79
33,10001,10035,103
34,10001,10036,2074
35,10001,10037,36
36,10001,10038,302
37,10001,10039,26
38,10001,10040,63
39,10001,10041,10
40,10001,10044,51
41,10001,10045,1
42,10001,10047,1
43,10001,10048,464
44,10001,10055,4
45,10001,10069,39
46,10001,10080,4
47,10001,10081,2
48,10001,10096,6
49,10001,10103,7
50,10001,10104,3
51,10001,10105,3
52,10001,10106,3
53,10001,10107,2
54,10001,10110,4
55,10001,10111,115
56,10001,10112,3
57,10001,10115,3
58,10001,10118,376
59,10001,10119,87
60,10001,10120,135
61,10001,10121,51
62,10001,10122,7
63,10001,10123,5
64,10001,10128,125
66,10001,10152,9
67,10001,10153,61
68,10001,10154,9
70,10001,10165,4
71,10001,10166,23
72,10001,10167,20
73,10001,10168,1
74,10001,10169,29
75,10001,10170,4
77,10001,10172,4
79,10001,10174,33
80,10001,10175,2
81,10001,10176,1
82,10001,10177,1
84,10001,10196,3
85,10001,10203,2
87,10001,10260,10
88,10001,10265,6
89,10001,10270,1
90,10001,10271,3
91,10001,10275,13
92,10001,10278,10
93,10001,10279,10
94,10001,10280,54
95,10001,10281,202
96,10001,10282,54
97,10001,10285,28
98,10001,10286,4
99,10001,10301,68
100,10001,10302,13
101,10001,10303,12
102,10001,10304,21
103,10001,10305,17
104,10001,10306,27
105,10001,10307,6
106,10001,10308,14
107,10001,10309,15
108,10001,10310,14
109,10001,10312,11
110,10001,10314,65
111,10001,10451,70
112,10001,10452,72
113,10001,10453,48
114,10001,10454,28
115,10001,10455,34
116,10001,10456,27
117,10001,10457,33
118,10001,10458,78
119,10001,10459,24
120,10001,10460,56
121,10001,10461,46
122,10001,10462,98
123,10001,10463,56
124,10001,10464,19
125,10001,10465,30
126,10001,10466,24
127,10001,10467,57
128,10001,10468,48
129,10001,10469,23
130,10001,10470,15
131,10001,10471,33
132,10001,10472,28
133,10001,10473,14
134,10001,10474,13
135,10001,10475,40
136,10001,11001,1
137,10001,11004,4
138,10001,11005,2
139,10001,11040,4
140,10001,11101,296
141,10001,11102,108
142,10001,11103,80
143,10001,11104,44
144,10001,11105,77
145,10001,11106,102
146,10001,11109,14
147,10001,11201,678
148,10001,11203,31
149,10001,11204,22
150,10001,11205,97
151,10001,11206,196
152,10001,11207,72
153,10001,11208,32
154,10001,11209,53
155,10001,11210,45
156,10001,11211,677
157,10001,11212,29
158,10001,11213,39
159,10001,11214,47
160,10001,11215,240
161,10001,11216,111
162,10001,11217,485
163,10001,11218,39
164,10001,11219,38
165,10001,11220,62
166,10001,11221,160
167,10001,11222,172
168,10001,11223,33
169,10001,11224,72
170,10001,11225,46
171,10001,11226,349
172,10001,11228,37
173,10001,11229,38
174,10001,11230,35
175,10001,11231,100
176,10001,11232,75
177,10001,11233,89
178,10001,11234,43
179,10001,11235,61
180,10001,11236,35
181,10001,11237,163
182,10001,11238,179
183,10001,11239,20
184,10001,11251,24
185,10001,11354,76
186,10001,11355,71
187,10001,11356,15
188,10001,11357,23
189,10001,11358,14
190,10001,11359,3
191,10001,11360,16
192,10001,11361,31
193,10001,11362,13
194,10001,11363,3
195,10001,11364,10
196,10001,11365,23
197,10001,11366,25
198,10001,11367,41
199,10001,11368,93
200,10001,11369,27
201,10001,11370,17
202,10001,11371,310
203,10001,11372,58
204,10001,11373,116
205,10001,11374,35
206,10001,11375,118
207,10001,11377,108
208,10001,11378,34
209,10001,11379,19
210,10001,11385,73
211,10001,11411,9
212,10001,11412,10
213,10001,11413,15
214,10001,11414,24
215,10001,11415,27
216,10001,11416,15
217,10001,11417,21
218,10001,11418,27
219,10001,11419,20
220,10001,11420,22
221,10001,11421,17
222,10001,11422,15
223,10001,11423,17
224,10001,11426,13
225,10001,11427,6
226,10001,11428,6
227,10001,11429,11
228,10001,11430,539
229,10001,11432,68
230,10001,11433,38
231,10001,11434,27
232,10001,11435,90
233,10001,11436,13
234,10001,11691,15
235,10001,11692,6
236,10001,11693,18
237,10001,11694,14
238,10001,11697,4
239,10002,10002,1204
240,10002,10003,859
241,10002,10004,151
242,10002,10005,117
243,10002,10006,81
244,10002,10007,1039
245,10002,10009,379
246,10002,10010,493
247,10002,10011,720
248,10002,10012,815
249,10002,10013,685
250,10002,10014,644
251,10002,10016,278
252,10002,10017,285
253,10002,10018,408
254,10002,10019,757
255,10002,10020,306
256,10002,10021,112
257,10002,10022,342
